health,time,maze_algorithm,maze_size,token,created_at
40,213,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyODk0NTAsImp0aSI6ImU2Y2NkN2NjLWQwMDYtNDQ0OS1hZWQyLTMwMDcwYWYzYWEzZCJ9.,2023-08-17 16:28:36 UTC
-5,78,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyOTgyNDgsImp0aSI6IjhjZTczMzVhLTI5NTAtNGMzZi05NzU5LTNjMWFlMDA3Mjg1MCJ9.,2023-08-17 18:53:07 UTC
55,123,RecursiveDivision,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyOTgzOTUsImp0aSI6IjIyODNlOTQ4LTI3MTgtNDYzMy04NmFmLTZjNWQ0NDljNTYzYSJ9.,2023-08-17 18:55:52 UTC
-5,118,RecursiveDivision,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyOTg1ODcsImp0aSI6ImU4ZjMzOGQxLWI1YjAtNDIxMS1iY2E4LTc3MmQyMGQ0YTY3MCJ9.,2023-08-17 18:58:38 UTC
-5,92,RecursiveDivision,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyOTg3MjIsImp0aSI6IjAyOTg4ZTdiLTkxMzUtNDg3MS04ZTc1LTc3YzQ5NDNmZjc5ZCJ9.,2023-08-17 19:00:32 UTC
-5,73,RecursiveDivision,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyOTg4MzcsImp0aSI6ImM2OTFhMzM5LTFiZjUtNDk4Yi1iYmYzLTRlMzM0MWNiOTMxNCJ9.,2023-08-17 19:02:05 UTC
-5,107,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyOTg5MjcsImp0aSI6ImU0OTEzZDI4LTZiM2UtNDdlYS1iMDllLTA5NjA1ZDc0ZTllMyJ9.,2023-08-17 19:04:25 UTC
70,113,RecursiveDivision,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyOTkwNjcsImp0aSI6IjI5MTI1Yjc5LTgzM2ItNDNkNS1iOTg5LWJlN2NlY2MwZmIzMyJ9.,2023-08-17 19:06:52 UTC
-5,142,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyOTk0MTUsImp0aSI6IjhlZTExMjQwLTgwM2UtNDVhOS1iY2ZhLWZlMzFmYjVjNzFjYyJ9.,2023-08-17 19:13:35 UTC
100,90,RecursiveBacktracker,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIzMDAzMzUsImp0aSI6ImQzMzhjZTgzLWYzYjctNGFhYy1iZjQ1LTg0N2I5NTExMTRlMCJ9.,2023-08-17 19:28:46 UTC
55,116,PrimsAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIzMDA2OTksImp0aSI6IjdjNTg1YTIyLWZmZjQtNDlkZC1iZDhiLWM5YzNmMTZjN2M2YiJ9.,2023-08-17 19:33:56 UTC
100,62,RecursiveDivision,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIzMDEwMDksImp0aSI6IjQ3ZDc5NzRjLWU1YzItNDIwOS04NGVkLTMzMDNlMmIxNGIwZSJ9.,2023-08-17 19:38:31 UTC
70,97,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIzMDEzMTAsImp0aSI6ImM1NGQzZGFmLWYxMGQtNDM4ZC04ZGUzLTJiMjBkY2ZjMWQyYyJ9.,2023-08-17 19:44:09 UTC
